filename,hour_of_recording,minute_of_hour,SRWA,observer,notes
SWIFT01_20230303_120037,0,23,FALSE,,
SWIFT01_20230303_120037,0,21,FALSE,,
SWIFT01_20230303_120037,0,3,FALSE,,
SWIFT01_20230303_120037,1,26,FALSE,,
SWIFT01_20230303_120037,1,57,TRUE,,
SWIFT01_20230303_120037,1,48,TRUE,,
SWIFT01_20230303_120037,1,32,FALSE,,
SWIFT01_20230303_140043,0,45,FALSE,,
SWIFT01_20230303_140043,0,6,TRUE,,
SWIFT01_20230303_140043,0,2,TRUE,,
SWIFT01_20230303_140043,0,48,FALSE,,
SWIFT01_20230303_140043,1,3,FALSE,,
SWIFT01_20230303_140043,1,18,FALSE,,x
SWIFT01_20230303_140043,1,52,FALSE,,
SWIFT01_20230303_140043,1,26,TRUE,,
SWIFT01_20230303_160049,0,10,FALSE,,
SWIFT01_20230303_160049,0,43,FALSE,,x
SWIFT01_20230303_160049,0,11,FALSE,,
SWIFT01_20230303_160049,0,36,FALSE,,
SWIFT01_20230303_160049,1,45,TRUE,,
SWIFT01_20230303_160049,1,39,TRUE,,
SWIFT01_20230303_160049,1,47,FALSE,,
SWIFT01_20230303_160049,1,14,TRUE,,
SWIFT01_20230303_200057,0,45,FALSE,,
SWIFT01_20230303_200057,0,24,FALSE,,
SWIFT01_20230303_200057,0,50,FALSE,,
SWIFT01_20230303_200057,0,20,FALSE,,
SWIFT01_20230303_200057,1,36,FALSE,,
SWIFT01_20230303_200057,1,58,FALSE,,
SWIFT01_20230303_200057,1,27,FALSE,,
SWIFT01_20230303_200057,1,41,FALSE,,
SWIFT01_20230310_000000,0,25,FALSE,,
SWIFT01_20230310_000000,0,0,FALSE,,
SWIFT01_20230310_000000,0,4,FALSE,,
SWIFT01_20230310_000000,0,22,FALSE,,
SWIFT01_20230310_000000,1,30,FALSE,,
SWIFT01_20230310_000000,1,37,FALSE,,
SWIFT01_20230310_000000,1,51,FALSE,,
SWIFT01_20230310_000000,1,13,FALSE,,
SWIFT01_20230310_020002,0,44,FALSE,,
SWIFT01_20230310_020002,0,46,FALSE,,
SWIFT01_20230310_020002,0,7,FALSE,,
SWIFT01_20230310_020002,0,21,FALSE,,
SWIFT01_20230310_020002,1,2,FALSE,,
SWIFT01_20230310_020002,1,10,FALSE,,
SWIFT01_20230310_020002,1,16,FALSE,,
SWIFT01_20230310_020002,1,56,FALSE,,
SWIFT01_20230310_100032,0,0,FALSE,,
SWIFT01_20230310_100032,0,2,FALSE,,
SWIFT01_20230310_100032,0,57,FALSE,,
SWIFT01_20230310_100032,0,6,FALSE,,
SWIFT01_20230310_100032,1,58,FALSE,,
SWIFT01_20230310_100032,1,18,FALSE,,
SWIFT01_20230310_100032,1,19,FALSE,,
SWIFT01_20230310_100032,1,7,FALSE,,
SWIFT01_20230310_160046,0,39,FALSE,,
SWIFT01_20230310_160046,0,30,FALSE,,
SWIFT01_20230310_160046,0,32,FALSE,,
SWIFT01_20230310_160046,0,16,FALSE,,
SWIFT01_20230310_160046,1,54,FALSE,,
SWIFT01_20230310_160046,1,24,FALSE,,
SWIFT01_20230310_160046,1,12,FALSE,,
SWIFT01_20230310_160046,1,10,FALSE,,
SWIFT01_20230310_220104,0,25,FALSE,,
SWIFT01_20230310_220104,0,11,FALSE,,
SWIFT01_20230310_220104,0,5,FALSE,,
SWIFT01_20230310_220104,0,17,FALSE,,
SWIFT01_20230310_220104,1,49,FALSE,,
SWIFT01_20230310_220104,1,7,FALSE,,
SWIFT01_20230310_220104,1,50,FALSE,,
SWIFT01_20230310_220104,1,58,NA,,does not exist
SWIFT01_20230311_020006,0,7,FALSE,,
SWIFT01_20230311_020006,0,13,FALSE,,
SWIFT01_20230311_020006,0,20,FALSE,,
SWIFT01_20230311_020006,0,7,NA,,duplicate minute
SWIFT01_20230311_020006,0,16,FALSE,,
SWIFT01_20230311_020006,1,50,FALSE,,
